EmployerName,Address,CompanyNumber,SicCodes,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,MaleLowerQuartile,FemaleLowerQuartile,MaleLowerMiddleQuartile,FemaleLowerMiddleQuartile,MaleUpperMiddleQuartile,FemaleUpperMiddleQuartile,MaleTopQuartile,FemaleTopQuartile,CompanyLinkToGPGInfo,ResponsiblePerson,EmployerSize,CurrentName,SubmittedAfterTheDeadline,DueDate,DateSubmitted,period
INCLUSIVE SCHOOLS TRUST,"Lionwood Infant And Nursery School, Telegraph Lane East,
Norwich,
Norfolk,
NR1 4AN",10607038,85200,30.2,51.6,,,0.0,0.0,6.7,93.3,6.1,93.9,11.7,88.3,20.0,80.0,,Selene Sawyer (CEO),250 to 499,INCLUSIVE SCHOOLS TRUST,False,05/04/2020 00:00:00,23/05/2019 13:12:24,2019-20
J & J Ormerod PLC,"Colonial House,
Bacup,
Lancashire,
United Kingdom,
OL13 0EA",00931323,32990,2.3,3.2,6.0,2.4,8.0,18.3,75.0,25.0,85.7,14.3,86.9,13.1,84.2,15.8,https://jjoplc.com,Stephen Greenhalgh (Managing Director),250 to 499,J & J Ormerod PLC,False,05/04/2020 00:00:00,11/04/2019 08:32:58,2019-20
JOHN REILLY (CIVIL ENGINEERING)  LIMITED,"Highfield Court, Tollgate,Chandlers Ford,
Eastleigh,
Hampshire,
SO53 3TY",01987435,41201,27.8,39.6,72.5,-100.0,13.7,90.9,91.0,9.0,95.0,5.0,100.0,0.0,100.0,0.0,,Yip Lieu (Director),250 to 499,JOHN REILLY (CIVIL ENGINEERING)  LIMITED,False,05/04/2020 00:00:00,28/06/2019 07:51:32,2019-20
LINCOLNSHIRE HOUSING PARTNERSHIP  LIMITED,"Westgate Park,
Charlton Street,
Grimsby,
DN31 1SQ",RS007748,,4.8,8.4,,,0.0,0.0,31.6,68.4,62.2,37.8,48.5,51.5,63.3,36.7,https://www.lincolnshirehp.com/media/2649/gender-pay-gap-report-2019.pdf,Jane Godfrey (Head of HR &OD),250 to 499,LINCOLNSHIRE HOUSING PARTNERSHIP  LIMITED,False,05/04/2020 00:00:00,14/05/2019 16:26:56,2019-20
Livability,"6 Mitre Passage,
London,
England,
SE10 0ER",05967087,"85320,
87300,
88100,
88990",12.0,4.0,,,0.0,0.0,23.0,77.0,14.0,86.0,17.5,82.5,24.0,76.0,https://www.livability.org.uk,Helen England (CEO),1000 to 4999,Livability,False,05/04/2020 00:00:00,21/06/2019 13:36:27,2019-20
NORTHERN AUTOMOTIVE SYSTEMS LIMITED,"Gilwern Park Ty Mawr Road,
Gilwern,
Abergavenny,
Monmouthshire,
Wales,
NP7 0EB",02776653,29320,5.0,0.0,19.0,14.0,62.7,46.9,76.0,24.0,83.0,17.0,56.0,44.0,73.0,27.0,,Aiden Lambe (Finance Director),500 to 999,NORTHERN AUTOMOTIVE SYSTEMS LIMITED,False,05/04/2020 00:00:00,24/05/2019 13:17:10,2019-20
Rhondda Cynon Taf Council,"The Pavilions,
Cambrian Park,
Clydach Vale,
CF40 2XX",,1,13.3,9.0,,,0.0,0.0,9.0,91.0,21.0,79.0,34.0,66.0,34.0,66.0,,,"5000 to 19,999",Rhondda Cynon Taf Council,False,31/03/2020 00:00:00,16/04/2019 14:29:46,2019-20
RUSHCLIFFE CARE LIMITED,"3rd Floor Butt Dyke House,
33 Park Row,
Nottingham,
United Kingdom,
NG1 6EE",02753596,87100,1.0,-1.3,,,0.0,0.0,18.0,82.0,20.0,80.0,16.0,84.0,29.0,71.0,http://www.rushcliffecare.co.uk/,Karen Noon (Group Operations Director),500 to 999,RUSHCLIFFE CARE LIMITED,False,05/04/2020 00:00:00,05/04/2019 10:17:48,2019-20
Safran Landing Systems Services UK Ltd,"Meteor Business Park,
Cheltenham Road East,
Gloucester,
Gloucestershire,
United Kingdom,
GL2 9QL",03528628,33160,1.6,1.7,12.7,0.0,92.1,96.2,83.3,16.7,90.9,9.1,93.9,6.1,92.5,7.5,,Zoe Townsend (HR Service Delivery Specialist),250 to 499,Safran Landing Systems Services UK Ltd,False,05/04/2020 00:00:00,15/05/2019 12:15:53,2019-20
Synaptic Trust,"West Thornton Primary Academy,
Rosecourt Road,
Croydon,
Surrey,
United Kingdom,
CR0 3BS",07588104,"1,
85200",23.8,25.1,,,0.0,0.0,3.6,96.4,8.8,91.2,15.8,84.2,14.3,85.7,http://thesynaptictrust.org/,,Less than 250,Synaptic Trust,False,31/03/2020 00:00:00,07/05/2019 16:53:05,2019-20
THAMES WATER UTILITIES LIMITED,"Clearwater Court,
Vastern Road,
Reading,
Berkshire,
United Kingdom,
RG1 8DB",02366661,36000,10.4,12.2,40.8,0.0,32.0,34.2,57.2,42.8,66.1,33.9,73.0,27.0,72.6,27.4,,Janet Burr (HR Director),"5000 to 19,999",THAMES WATER UTILITIES LIMITED,False,05/04/2020 00:00:00,28/06/2019 11:41:22,2019-20
